"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","0","Delete exercise","LMS service","Sun Mar 08 07:57:08 UTC 2026","broken","Sun Mar 08 07:57:08 UTC 2026","Delete entity","Exercises","",""
"","0","Get user me","LMS service","Sun Mar 08 07:57:08 UTC 2026","broken","Sun Mar 08 07:57:08 UTC 2026","Create entity","Users","",""
"","0","Get exercise","LMS service","Sun Mar 08 07:57:08 UTC 2026","broken","Sun Mar 08 07:57:08 UTC 2026","Get entity","Exercises","",""
"","0","Delete file","LMS service","Sun Mar 08 07:57:08 UTC 2026","broken","Sun Mar 08 07:57:08 UTC 2026","Delete entity","Files","",""
"","0","Update exercise","LMS service","Sun Mar 08 07:57:08 UTC 2026","broken","Sun Mar 08 07:57:08 UTC 2026","Update entity","Exercises","",""
"","0","Create exercise","LMS service","Sun Mar 08 07:57:08 UTC 2026","broken","Sun Mar 08 07:57:08 UTC 2026","Create entity","Exercises","",""
"","0","Login with correct email and password","LMS service","Sun Mar 08 07:57:07 UTC 2026","broken","Sun Mar 08 07:57:07 UTC 2026","Login","Authentication","",""
"","0","Create file with empty directory","LMS service","Sun Mar 08 07:57:08 UTC 2026","broken","Sun Mar 08 07:57:08 UTC 2026","Validate entity","Files","",""
"","0","Get file","LMS service","Sun Mar 08 07:57:08 UTC 2026","broken","Sun Mar 08 07:57:08 UTC 2026","Get entity","Files","",""
"","4","Create user","LMS service","Sun Mar 08 07:57:08 UTC 2026","broken","Sun Mar 08 07:57:08 UTC 2026","Create entity","Users","",""
"","6","Create user","LMS service","Sun Mar 08 07:57:08 UTC 2026","broken","Sun Mar 08 07:57:08 UTC 2026","Create entity","Users","",""
"","0","Create file","LMS service","Sun Mar 08 07:57:08 UTC 2026","broken","Sun Mar 08 07:57:08 UTC 2026","Create entity","Files","",""
"","0","Create file with empty filename","LMS service","Sun Mar 08 07:57:08 UTC 2026","broken","Sun Mar 08 07:57:08 UTC 2026","Validate entity","Files","",""
"","0","Create course","LMS service","Sun Mar 08 07:57:07 UTC 2026","broken","Sun Mar 08 07:57:07 UTC 2026","Create entity","Courses","",""
"","0","Get exercises","LMS service","Sun Mar 08 07:57:08 UTC 2026","broken","Sun Mar 08 07:57:08 UTC 2026","GET entities","Exercises","",""
"","0","Update course","LMS service","Sun Mar 08 07:57:07 UTC 2026","broken","Sun Mar 08 07:57:07 UTC 2026","Update entity","Courses","",""
"","0","Get courses","LMS service","Sun Mar 08 07:57:07 UTC 2026","broken","Sun Mar 08 07:57:07 UTC 2026","GET entities","Courses","",""
"","0","Get file with incorrect file id","LMS service","Sun Mar 08 07:57:08 UTC 2026","broken","Sun Mar 08 07:57:08 UTC 2026","Validate entity","Files","",""
"","7","Create user","LMS service","Sun Mar 08 07:57:08 UTC 2026","broken","Sun Mar 08 07:57:08 UTC 2026","Create entity","Users","",""
